Name,Genotype,Sent to and date,Constructed by,Thawed for and date,Constructed from,Isolation date,Isolation location,Gps latitude,Gps longitude,Description,SysID
PB306.G250.477,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.479,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.481,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.483,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.485,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.492,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.495,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.499,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.405,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.407,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.410,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.414,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.415,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.416,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.420,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.421,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.423,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.424,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.426,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.428,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.435,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.436,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.475,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.476,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.480,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.482,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.486,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.487,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.489,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.490,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.494,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.496,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.497,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.439,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.442,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.443,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.446,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.448,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.449,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.455,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.456,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.459,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.461,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.462,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.463,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.464,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.466,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.467,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.470,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.472,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.484,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.493,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
PB306.G250.488,G250 MA line,-,Baer Lab,-,PB306,NA,NA,NA,NA,,
N2.G250.519,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.520,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.521,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.522,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.523,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.524,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.525,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.526,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.529,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.551,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.501,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.502,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.503,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.509,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.510,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.511,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.512,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.514,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.516,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.530,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.531,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.532,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.533,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.537,G250 MA line,-,Baer Lab,-,N2,NA,NA,NA,NA,,
N2.G250.543,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.545,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.546,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.547,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.548,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.576,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.517,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.536,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.552,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.557,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.559,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.561,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.563,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.565,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.566,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.579,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.568,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.570,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.574,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.580,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.583,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.587,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.589,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.594,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.600,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.506,G250 MA line,S. Harvey (4.23.13),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.513,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.586,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.581,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.508,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.584,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.542,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.592,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.582,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.575,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
N2.G250.554,G250 MA line,S. Harvey (4.23.2013),Baer Lab,S. Harvey (4.10.2013),N2,NA,NA,NA,NA,,
RB1909,gcy-19(ok2472),-,OMRF Knockout Group,-,-,NA,NA,NA,NA,,
AX1305,gcy-32(ok1012); npr-1(ad609),-,-,-,-,NA,NA,NA,NA,,
AX1295,gcy-35(ok769),-,M. de Bono,-,-,NA,NA,NA,NA,,
CX6448,gcy-35(ok769),-,-,-,-,NA,-,NA,NA,,
CX7157,gcy-35(ok769); npr-1(ad609),-,-,-,-,NA,NA,NA,NA,,
AX1296,gcy-36(db42),-,M. de Bono,-,-,NA,NA,NA,NA,,
AX1297,gcy-36(db66),-,M. de Bono,-,-,NA,NA,NA,NA,,
VC2982,gkDf24 I; ikke-1(gk1264) III.,-,-,-,N2,NA,NA,NA,NA,,
CF1903,glp-1 (e2141),-,-,-,-,-,-,-,-,,
CB4037,glp-1(e2141) III,-,Schnabels,-,-,NA,NA,NA,NA,,
SS104,glp-4(bn2) I,Chris Fang Yen (6/24/2014),-,-,-,NA,NA,NA,NA,,
MT2426,goa-1(n1134),-,MF/BH,-,-,NA,NA,NA,NA,,
MT8626,goa-1(n3055),-,B. Swain,-,-,NA,NA,NA,NA,,
CF2253,gon-2 (q388),-,-,-,-,-,-,-,-,,
QX1199,him-5(e1490),-,M. Rockman,-,"DF89, CB4856",NA,NA,NA,NA,,
MT9902,him-5(e1490); lin-15AB(n765),-,C. Ceol,-,"CB1490, MT1642",NA,NA,NA,NA,,
MT2869,him-5(e1490); unc-46(e177),-,JT,-,-,NA,NA,NA,NA,,
CB1489,him-8(e1489),-,-,-,-,NA,NA,NA,NA,,
CB1489 #2,him-8(e1489)IV,-,B. Horvitz,-,-,NA,NA,NA,NA,,
VS21,hjSi20 IV,-,Ho Yi Mak,-,-,NA,NA,NA,NA,,
ECA272,hrde-1(tm1200),-,Natash Weiser,-,"FX1200, N2",NA,NA,NA,NA,,
BQ8,hsd-1(mg345),-,-,-,-,NA,NA,NA,NA,,
WS35,hyg R,-,-,-,-,-,-,-,-,,
WS38,hyg R,-,-,-,-,-,-,-,-,,
JT73,itr-1(sa73),-,P. Liu,-,-,NA,NA,NA,NA,,
FX3735,jmjd-5(tm3735),-,-,-,-,NA,NA,NA,NA,,
VC8,jnk-1(gk7),-,-,-,-,NA,NA,NA,NA,,
ERT246,jyIR1,-,K. Balla,-,-,NA,NA,NA,NA,,
ERT335,jyIR10,-,K. Balla,-,-,NA,NA,NA,NA,,
ERT247,jyIR2,-,K. Balla,-,-,NA,NA,NA,NA,,
ERT252,jyIR5,-,K. Balla,-,-,NA,NA,NA,NA,,
ERT253,jyIR6,-,K. Balla,-,-,NA,NA,NA,NA,,
ERT331,jyIR7,-,K. Balla,-,-,NA,NA,NA,NA,,
ERT332,jyIR8,-,K. Balla,-,-,NA,NA,NA,NA,,
ERT333,jyIR9,-,K. Balla,-,-,NA,NA,NA,NA,,
VC1474,K12D12.1(ok1930)/mIn1 [mIs14 dpy-10(e128)] II,-,N. Rezania,S. Zdraljevic (01/08/2016),-,NA,NA,NA,NA,,
PTM81,"kahIR13 (II,LSJ2>N2); kyIR1 (V, CB4856>N2); qgIR1 (X, CB4856>N2)",-,P. McGrath,-,See description below,NA,NA,NA,NA,,
PTM82,"kahIR14 (IV, LSJ2>N2); kyIR1 (V, CB4856>N2); qgIR1 (X, CB4856>N2)",-,P. McGrath,-,See description below,NA,NA,NA,NA,,
PTM75,"kahIR2 (V,LSJ2>N2), kyIR1 (V, CB4856>N2); qgIR1 (X, CB4856>N2)",-,P. McGrath,-,See description below,NA,NA,NA,NA,,
PTM61,"kahIR6(IV, LSJ2>N2); kyIR1(V, CB4856>N2); qgIR1(X, CB4856>N2)",-,P. McGrath,-,See description below,NA,NA,NA,NA,,
PTM62,"kahIR7(I,LSJ2>N2); kyIR1(V, CB4856>N2); qgIR1(X, CB4856>N2)",-,P. McGrath,-,See description below,NA,NA,NA,NA,,
PTM63,"kahIR8(I,LSJ2,N2); kyIR1(V, CB4856>N2); qgIR1(X, CB4856>N2)",-,P. McGrath,-,See description below,NA,NA,NA,NA,,
PTM64,"kahIR9(II, LSJ2>N2); kyIR1(V, CB4856>N2); qgIR1(X, CB4856>N2)",-,P. McGrath,-,See description below,NA,NA,NA,NA,,
TP12,kaIs12,-,-,-,-,NA,NA,NA,NA,,
KU21,kgb-1(km21),-,K. Matsumoto,-,-,NA,NA,NA,NA,,
CX9695,"kyEx2158 [flp-21::npr-1 SL2 GFP, ofm-1::dsRed]",-,-,-,-,NA,NA,NA,NA,,
PTM77,"kyIR1 (V, CB4856>N2); kahIR11 (X, LSJ2>N2)",-,P. McGrath,-,See description below,NA,NA,NA,NA,,
PTM88,"kyIR1 (V, CB4856>N2); qgIR1 (X, CB4856>N2); nurf-1(kah3)",-,P. McGrath,-,See description below,NA,NA,NA,NA,,
CX10774,"kyIR1 [chrV region, CB4856 > N2]",-,-,-,-,NA,NA,NA,NA,,
CX10776,"kyIR1 [chrV region, CB4856 > N2]; qqIR1 [lon-2 region on X, CB4856 > N2]",-,-,-,-,NA,NA,NA,NA,,
CX12311,"kyIR1(V, CB4856>N2); qgIR1(X, CB4856>N2)",-,P. McGrath,-,"N2, LSJ2",NA,NA,NA,NA,,
PTM93,"kyIR1(V, CB4856>N2); qgIR1(X, CB4856>N2); nurf-1(kah5)",-,P. McGrath,-,See description below,NA,NA,NA,NA,,
PTM92,"kyIR1(V, CB4856>N2); qgIR1(X, CB4856>N2); srg-47(kah6)",-,P. McGrath,-,See description below,NA,NA,NA,NA,,
CX13854,"kyIR102(II(6155430-6198696), CB4856>N2)",-,A. Bendesky,-,"CB4856, N2",NA,NA,NA,NA,,
CX14008,"kyIR107(II(5926596-6156620), CB4856>N2)",-,A. Bendesky,-,"CB4856, N2",NA,NA,NA,NA,,
CX14011,"kyIR110(II(6111057-6156620), CB4856>N2)",-,A. Bendesky,-,"CB4856, N2",NA,NA,NA,NA,,
CX14013,"kyIR112(II(5926596-6146765), CB4856>N2)",-,A. Bendesky,-,"CB4856, N2",NA,NA,NA,NA,,
CX10927,kyIR2 N2>CB4856 X,-,-,-,"QX122 crossed to CB4856 , 10X",-,-,-,-,,
CX11922,"kyIR20(II(4783398-6672356), CB4856>N2)",-,A. Bendesky,-,"CB4856, N2",NA,NA,NA,NA,,
CX11561,"kyIR26(IV(151889-13049020), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX11564,"kyIR27(IV(2761525-16085085), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX11901,"kyIR28(IV(151889-3920366), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX11562,"kyIR32(IV(14566567-16085085), CB4856>N2)",Miriam Goodman (07/21/2015),E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX11563,"kyIR33(IV(3920366-16085085), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX11879,"kyIR38(IV(2761525-3347952), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX11881,"kyIR40(IV(13667267-16085085), CB4856>N2)",Miriam Goodman (07/21/2015),E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX11900,"kyIR42(IV(151889-1799032), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX11905,"kyIR46(IV(2761525-16085085), CB4856>N2)",Miriam Goodman (07/21/2015),E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX11930,"kyIR48(IV(2288742-13049020), CB4856>N2)",Miriam Goodman (07/21/2015),E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX11931,"kyIR49(IV(4991858-13049020), CB4856>N2)",Miriam Goodman (07/21/2015),E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX11932,"kyIR50(IV(3347952-13049020), CB4856>N2)",Miriam Goodman (07/21/2015),E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX11933,"kyIR51(IV(1381409-13049020), CB4856>N2)",Miriam Goodman (07/21/2015),E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX11934,"kyIR52(IV(2761525-13049020), CB4856>N2)",Miriam Goodman (07/21/2015),E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX12004,"kyIR54(IV(151889-795461), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX12005,"kyIR55(IV(2288742-3920366), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX12006,"kyIR56(IV(795461-2288742), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX12769,"kyIR62(IV(151889-3920366), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX12771,"kyIR64(IV(1034642-3920366), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX12772,"kyIR65(IV(151889-2761525), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX12773,"kyIR66(IV(151889-1799032), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX12774,"kyIR67(IV(151889-2288742), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX12775,"kyIR68(IV(151889-2288742), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX12776,"kyIR69(IV(151889-1039246), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX12777,"kyIR70(IV(1799032-3920366), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX12778,"kyIR71(IV(151889-1799032), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX12780,"kyIR73(IV(1799032-3920366), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX12781,"kyIR74(IV(151889-1039246), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX12782,"kyIR75(IV(151889-2761525), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX12783,"kyIR76(IV(151889-864280), CB4856>N2)",-,E. Glater,-,"CB4856, N2",NA,NA,NA,NA,,
CX13072,"kyIR82(II(4783398-6442763), CB4856>N2)",-,A. Bendesky,-,"CB4856, N2",NA,NA,NA,NA,,
CX13073,"kyIR83(II(5926596-6198696), CB4856>N2)",-,A. Bendesky,-,"CB4856, N2",NA,NA,NA,NA,,
PTM85,"kyIR87 (II, LSJ2>N2); kahIR14 (IV, LSJ2>N2); kyIR1 (V, CB4856>N2); qgIR1 (X, CB4856>N2)",-,P. McGrath,-,See description below,NA,NA,NA,NA,,
PTM84,"kyIR87 (II, LSJ2>N2); kahIR2 (V, LSJ2>N2), kyIR1 (V, CB4856>N2); qgIR1 (X, CB4856>N2)",-,P. McGrath,-,See description below,NA,NA,NA,NA,,
PTM83,"kyIR87 (II, LSJ2>N2); kahIR6 (IV, LSJ2>N2); kyIR1 (V, CB4856>N2); qgIR1 (X, CB4856>N2)",-,P. McGrath,-,See description below,NA,NA,NA,NA,,
PTM66,"kyIR87(II, LSJ2>N2); kyIR1(V, CB4856>N2); qgIR1(X, CB4856>N2)",-,P. McGrath,-,See description below,NA,NA,NA,NA,,
CX13249,"kyIR88 (X, LSJ2>N2)",-,P. McGrath,-,See description below,NA,NA,NA,NA,,
CX13252,"kyIR89, N2>CB4856,X",-,-,-,unknown,-,-,-,-,,
CX11400,"kyIR9 [4,745,910 to 4,927,296, N2 > CB4856]",Jagan Srinivasan (1/21/2014),A. Bendesky,Jagan Srinivasan (01/08/2014),"CB4856, RIL?",NA,NA,NA,NA,,
QX1773,"kyIR9 [4,745,910 to 4,927,296, N2 > CB4856]",-,E. Andersen,-,"CX11400, CB4856",NA,NA,NA,NA,,
CX11400,"kyIR9,N2>CB4856,X",-,-,-,"QX9 x CB4856, 8X",-,-,-,-,,
CX13271,"kyIR90(X(4919592-5033445), CB4856>N2)",-,A. Bendesky,-,"CB4856, N2",NA,NA,NA,NA,,
CX13272,"kyIR91(X(4279605-5153187), N2>CB4856)",-,A. Bendesky,-,"CB4856, N2",NA,NA,NA,NA,,
CX13602,"kyIR97(II(5926596-6672356), CB4856>N2)",-,A. Bendesky,-,"CB4856, N2",NA,NA,NA,NA,,
MT4725,let-60(n1046) dpy-20(e1282),-,G. Beitel,-,-,NA,NA,NA,NA,,
QX1550,lin-1(e1275) cxTi10882,-,E. Andersen,-,-,NA,NA,NA,NA,,
CB2226,lin-1(e1275) dpy-13(e184),-,-,-,-,NA,NA,NA,NA,,
CB2227,lin-1(e1275) dpy-20(e1282),-,-,-,-,NA,NA,NA,NA,,
MT17330,lin-1(e1275) unc-17(e245),-,S. Nakano,-,"N2, MT14910, CB933, and CB2227",NA,NA,NA,NA,,
MT8100,lin-15(n2993 n433),-,J. Thomas,-,MT2496,NA,NA,NA,NA,,
MT18163,lin-15(n744 n433),-,A. Saffer,-,"MT2495, MT12613",NA,NA,NA,NA,,
MT2496,lin-15A(n433),-,CF,-,-,NA,NA,NA,NA,,
MT1806,lin-15A(n767),-,CF,-,MT1802 CB151,NA,NA,NA,NA,,
MT8189,lin-15AB(n765),-,M. Koelle,-,"MT1642, N2",NA,NA,NA,NA,,
MT16037,lin-15AB(n765); nEx1252 [npr-1+],-,D. Omura,-,MT15623 MT1642,NA,NA,NA,NA,,
MT15308,lin-15AB(n765ts) X,-,"M. Worley, E. Andersen",-,"MT8189, CB4856",NA,NA,NA,NA,,
MT10612,lin-15B(n2245),-,E. Davison,-,MT5845,NA,NA,NA,NA,,
MT2495,lin-15B(n744),-,C. Ferguson,-,-,NA,NA,NA,NA,,
MT2150,lin-31(n301) unc-85(e1414),-,C. Ferguson,-,-,NA,NA,NA,NA,,
JK2739,lin-6(e1466) dpy-5(e61)/hT2 [qIs48],-,-,-,-,NA,NA,NA,NA,,
MT12775,lin-61(n3447),-,M. Harrison,-,MT12725 and MT2887,NA,NA,NA,NA,,
MT12833,lin-61(n3809),-,M. Harrison,-,MT12719 and MT2887,NA,NA,NA,NA,,
MT111,lin-8(n111),-,NT/HRH,-,-,NA,NA,NA,NA,,
MT10591,lin-8(n2731),-,E. Davison,-,"MT7611, CB2139",NA,NA,NA,NA,,
MT18779,lin15A-B(n765) nIs349 [ceh-28::mCherry],-,T. Hirose,-,MT1642,NA,NA,NA,NA,,
CX12361,ln17-8 Recombinant Inbred CX12311 (N2 w glb-5 and npr-1 introgressed from HW) x LSJ2,-,P. McGrath,-,"N2, LSJ2",NA,NA,NA,NA,,
CX12360,ln18-9 Recombinant Inbred CX12311 (N2 w glb-5 and npr-1 introgressed from HW) x LSJ2,-,P. McGrath,-,"N2, LSJ2",NA,NA,NA,NA,,
